swiss_french,standard_french,dialect,part_of_speech,definition,source,notes
MARC,,vaud,noun_masculine,"Poids demarc ;marc deraisin ,",Glossaire Vaudois (1861),DCG parsed
MARCHANDAILLER,,vaud,verb_active,Marchander longtemps pour,Glossaire Vaudois (1861),DCG parsed
MARCHÉ,faireunmar-,vaud,noun_masculine,N.P.faireunepache ;D.faireunmar-,Glossaire Vaudois (1861),DCG parsed
MARCOTTE,,vaud,noun_feminine,Terme dejardinier .N.P.unemar-,Glossaire Vaudois (1861),DCG parsed
MARGE,,vaud,noun_feminine,"Aufiguré ,latitude pour agir.Laisser assez",Glossaire Vaudois (1861),DCG parsed
MARGOUILLIS,,vaud,noun_masculine,"Lieu plein deboue ,d'ordures .",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.patrigot ,pacot .",Glossaire Vaudois (1861),DCG parsed
MARIER,,vaud,verb_active,"Joindre par lemariage ,donner labé-",Glossaire Vaudois (1861),DCG parsed
MARMONNER,,vaud,verb_active,Murmurer entre sesdents .N.P.,Glossaire Vaudois (1861),DCG parsed
MARQUEUR,,vaud,noun_masculine,N.P.uncibare .,Glossaire Vaudois (1861),DCG parsed
MARRON,,vaud,noun_masculine,"Fruit dumarronnier .N.P.unamarron ,",Glossaire Vaudois (1861),DCG parsed
MARTYRISER,,vaud,verb_active,N.P.martériser .,Glossaire Vaudois (1861),DCG parsed
MASQUE,,vaud,noun_masculine,Faux visage decarton peint .N.P.une,Glossaire Vaudois (1861),DCG parsed
MASSE,,vaud,noun_feminine,Aujeudebillard ;gros bout delaqueue .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.letalon .,Glossaire Vaudois (1861),DCG parsed
MASTIQUER,,vaud,verb_active,Nepeut sedirepour manger ;mais,Glossaire Vaudois (1861),DCG parsed
MAT,,vaud,adjective,Ormat.,Glossaire Vaudois (1861),DCG parsed
MATOU,,vaud,noun_masculine,Chat entier .Matou nepeut sedire pour,Glossaire Vaudois (1861),DCG parsed
MATRICULE,,vaud,noun_feminine,"Dites lamatricule d'une commune ,",Glossaire Vaudois (1861),DCG parsed
MAUVAIS,,vaud,adjective,"Crouïe pour méchant ,mauvais ,P.F.",Glossaire Vaudois (1861),DCG parsed
MAZUT,,vaud,noun_masculine,Nom donné auchalet dans quelques par-,Glossaire Vaudois (1861),DCG parsed
Alpes,,vaud,unknown,Onlitdans leLexique roman deRaynouard :,Glossaire Vaudois (1861),DCG parsed
MÈCHE,"unemèche ,unforcet.",vaud,noun_feminine,"N.P.unechafière ;D.unemèche ,unforcet.",Glossaire Vaudois (1861),DCG parsed
N,une mèche decheveux .,vaud,unknown,P.une quette decheveux ;D.une mèche decheveux .,Glossaire Vaudois (1861),DCG parsed
MÊLER,unéche-,vaud,verb_active,N.P.unécheveau enmêlé ;D.unéche-,Glossaire Vaudois (1861),DCG parsed
MEMBRU,,vaud,adjective,Quialesmembres gros etforts .N.P.,Glossaire Vaudois (1861),DCG parsed
MENDIER,,vaud,verb_active,Lemot raucaner P.F.,Glossaire Vaudois (1861),DCG parsed
MENER,,vaud,verb_active,Ceverbe nepeut s'employer dans les,Glossaire Vaudois (1861),DCG parsed
MENTON,unmenton,vaud,noun_masculine,N.P.unmenton àtapette ;D.unmenton,Glossaire Vaudois (1861),DCG parsed
MENUISIER,me-,vaud,noun_masculine,"N.P.menusier ,menuserie ;D.me-",Glossaire Vaudois (1861),DCG parsed
MERCI,,vaud,noun_masculine,Al'exception desexpressions merci de,Glossaire Vaudois (1861),DCG parsed
MERCREDI,,vaud,noun_masculine,N.P.mécredi .,Glossaire Vaudois (1861),DCG parsed
MÈRE,,vaud,noun_feminine,"C'est toutunsignifie ,iln'importe ,celaest",Glossaire Vaudois (1861),DCG parsed
MÉRELLE,,vaud,noun_feminine,Jeud'enfants quipous-,Glossaire Vaudois (1861),DCG parsed
MERRAIN,,vaud,noun_masculine,Bois dechêne fendu enmenues plan-,Glossaire Vaudois (1861),DCG parsed
MESSAGER,,vaud,noun_masculine,Jen'aipastrouvé dans mes dict.l'ex-,Glossaire Vaudois (1861),DCG parsed
MESSÉANCE,,vaud,noun_feminine,Manque debienséance .Serait -cel'o-,Glossaire Vaudois (1861),DCG parsed
MESSIER,,vaud,noun_masculine,Onditaussi garde -champêtre .N.P.le,Glossaire Vaudois (1861),DCG parsed
MÉTEIL,,vaud,noun_masculine,"Froment etseigle semés ,cultivés etmou-",Glossaire Vaudois (1861),DCG parsed
METTRE,,vaud,verb_active,"Enfater ,pour mettre dans sapoche ,ca-",Glossaire Vaudois (1861),DCG parsed
MEUTE,,vaud,noun_feminine,"N.P.unemute ,lamute .",Glossaire Vaudois (1861),DCG parsed
MICROSCOPE,,vaud,noun_masculine,N.P.miscrocope .,Glossaire Vaudois (1861),DCG parsed
MIEUX,,vaud,adverb,Cemotnedoit pass'employer pour plus.,Glossaire Vaudois (1861),DCG parsed
N,plus decent francs .,vaud,unknown,P.ilagagné mieux decent francs ;D.plus decent francs .,Glossaire Vaudois (1861),DCG parsed
N,ildanse,vaud,unknown,"P.ildanse desmieux ,ilchante desmieux ;D.ildanse",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,"P.ilétait malade hier,aujourd'hui ilesttoutringolet ;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,aujourd'hui ilvamieux .,Glossaire Vaudois (1861),DCG parsed
MIGNONNETTE,desmi-,vaud,noun_feminine,N.P.des œilletons ;D.desmi-,Glossaire Vaudois (1861),DCG parsed
MIJAURÉE,faire lami-,vaud,noun_feminine,N.P.faire lapouine ;D.faire lami-,Glossaire Vaudois (1861),DCG parsed
MIJOTER,,vaud,verb_active,Faire cuire lentement .N.P.faire bou-,Glossaire Vaudois (1861),DCG parsed
MIL,(L'lestmouillée .)Grai,vaud,noun_masculine,(L'lestmouillée .)Grain demiloudemillet .,Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.dupanais .,Glossaire Vaudois (1861),DCG parsed
MINABLE,,vaud,adjective,L'adj .minable nesetrouve pasdansla,Glossaire Vaudois (1861),DCG parsed
MINCE,,vaud,adjective,"Ondit,cethomme alamine bien mince ,",Glossaire Vaudois (1861),DCG parsed
MIRE,,vaud,noun_feminine,"Bouton placé aubout d'un fusil ,etc. Dans le",Glossaire Vaudois (1861),DCG parsed
MIRIFIQUE,,vaud,adjective,Seditquelquefois enplaisantant pour,Glossaire Vaudois (1861),DCG parsed
MIROIR,,vaud,noun_masculine,"Faire larateavec unmiroir ,P.F.-Le",Glossaire Vaudois (1861),DCG parsed
MISE,,vaud,noun_feminine,"Cequ'on met aujeu.N.P.mon mis,tonmis;",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"mamise,tamise .Les expressions :ilyaune mise de",Glossaire Vaudois (1861),DCG parsed
MITAINE,unepaire de,vaud,noun_feminine,N.P.unepaire demites ;D.unepaire de,Glossaire Vaudois (1861),DCG parsed
MITE,,vaud,noun_feminine,"Genre d'insecte delatribu desacarides ,qui",Glossaire Vaudois (1861),DCG parsed
MOELLON,,vaud,noun_masculine,Pierre àbâtir .N.P.un,Glossaire Vaudois (1861),DCG parsed
MEURS,,vaud,noun_feminine,plur.(Pr.meur .),Glossaire Vaudois (1861),DCG parsed
MOIGNON,,vaud,noun_masculine,Extrémité supérieure,Glossaire Vaudois (1861),DCG parsed
MOINDRE,,vaud,adjective,"Nepeut sedire pour indisposé ,légère-",Glossaire Vaudois (1861),DCG parsed
MOINEAU,,vaud,noun_masculine,N.P.enparlant d'un homme déplai-,Glossaire Vaudois (1861),DCG parsed
MOINS,,vaud,noun_masculine,Onnepeut pasdire lemoins desmoins :ce,Glossaire Vaudois (1861),DCG parsed
MOITE,,vaud,adjective,"Pour lesdeux genres :avoir lefront moite,",Glossaire Vaudois (1861),DCG parsed
MOITIÉ,,vaud,noun_feminine,N.P.êtrepar,Glossaire Vaudois (1861),DCG parsed
MOLETTE,,vaud,noun_feminine,Cône demarbre quisert aux peintres à,Glossaire Vaudois (1861),DCG parsed
MOLLASSE,,vaud,adjective,Seditdespersonnes dont lesorganes,Glossaire Vaudois (1861),DCG parsed
MOLLETON,,vaud,noun_masculine,N.P.mouleton .,Glossaire Vaudois (1861),DCG parsed
MOMENT,,vaud,noun_masculine,Unbonmoment signifie uninstant favo-,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.;ilfaut dire unlong moment .-Avez -vous achevé votre,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.,Glossaire Vaudois (1861),DCG parsed
MOMOT,,vaud,noun_masculine,"Genre d'oiseau ,nepeutse",Glossaire Vaudois (1861),DCG parsed
MONDE,,vaud,noun_masculine,Nous disons souvent àtorttoute lamite-,Glossaire Vaudois (1861),DCG parsed
MONTÉE,,vaud,noun_feminine,Petit escalier dans unemaison depauvres,Glossaire Vaudois (1861),DCG parsed
MONTER,,vaud,verb_neutral,"Ondoit dire monter avec une échelle ,",Glossaire Vaudois (1861),DCG parsed
MONTFERRINE,,vaud,noun_feminine,Sorte dedanse .N.P.mouferine ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,montferrine etpr.monférine .,Glossaire Vaudois (1861),DCG parsed
MORCEAU,,vaud,noun_masculine,"N.P.unbocon ,unemorse .Lesmots",Glossaire Vaudois (1861),DCG parsed
MORDAILLER,,vaud,verb_active,Fréquentatif demordre :mordre,Glossaire Vaudois (1861),DCG parsed
MORIGÉNER,,vaud,verb_active,Corriger .N.P.moriginer .,Glossaire Vaudois (1861),DCG parsed
MORSURE,,vaud,noun_feminine,"N.P.mordure ,morzure .",Glossaire Vaudois (1861),DCG parsed
MORTEL,,vaud,adjective,"N'anicomparatif ,nisuperlatif .",Glossaire Vaudois (1861),DCG parsed
MORTIER,,vaud,noun_masculine,Vase oùl'on pile.N.P.unpilon .Le,Glossaire Vaudois (1861),DCG parsed
MORVE,,vaud,noun_feminine,Humeur quisort desnarines .N.P.dela,Glossaire Vaudois (1861),DCG parsed
GLOSS,,vaud,unknown,"VAUD .Cen'est pasdelamoque dechat,",Glossaire Vaudois (1861),DCG parsed
MOUCHER,,vaud,verb_active,Ceverbe n'est jamais neutre ;ainsi il,Glossaire Vaudois (1861),DCG parsed
MOUCHERON,,vaud,noun_masculine,"Petite mouche .N.P.mousson ,mous-",Glossaire Vaudois (1861),DCG parsed
N,(Voy.ce,vaud,unknown,P.unmouchon .(Voy.cemot.) Le mousseron est une,Glossaire Vaudois (1861),DCG parsed
MOUCHETTES,,vaud,noun_feminine,plur.Ondoitdirelesmouchettes et,Glossaire Vaudois (1861),DCG parsed
MOUCHON,,vaud,noun_masculine,Filament enflammé delamèche quifait,Glossaire Vaudois (1861),DCG parsed
MOUE,faire lamoue oubouder .,vaud,noun_feminine,N.P.faire lapote;D.faire lamoue oubouder .,Glossaire Vaudois (1861),DCG parsed
MOUILLÉ,,vaud,adjective,L'adj .dépurant P.F.,Glossaire Vaudois (1861),DCG parsed
MOUILLURE,,vaud,noun_feminine,"N.P.dumouillon ,delamouille .",Glossaire Vaudois (1861),DCG parsed
MOULER,,vaud,verb_active,Onditqu'on enferabien mouler àquel-,Glossaire Vaudois (1861),DCG parsed
MOULIN,,vaud,noun_masculine,Faire venir l'eau aumoulin signifie se,Glossaire Vaudois (1861),DCG parsed
MOURIR,,vaud,verb_neutral,N.P.défunter .Voltaire adittrousser pour,Glossaire Vaudois (1861),DCG parsed
MOUSTACHE,,vaud,noun_feminine,N.P.cethomme porte desmousta-,Glossaire Vaudois (1861),DCG parsed
MOUT,,vaud,noun_masculine,Nous disons d'un mets qu'il n'anigoût ni,Glossaire Vaudois (1861),DCG parsed
MOYEN,enmoyen .,vaud,noun_masculine,N.P.écrire enmédiocre ;D.enmoyen .,Glossaire Vaudois (1861),DCG parsed
MUGUET,,vaud,noun_masculine,Plante .N.P.lemurguet .,Glossaire Vaudois (1861),DCG parsed
MUID,,vaud,noun_masculine,Mesure .,Glossaire Vaudois (1861),DCG parsed
MUR,,vaud,adjective,Enétatd'être cueilli .N.P.meur .N.P.mal,Glossaire Vaudois (1861),DCG parsed
MURAILLE,,vaud,noun_feminine,Enfermer quelqu'un entre quatre mu-,Glossaire Vaudois (1861),DCG parsed
MUSARAIGNE,,vaud,noun_feminine,Petit animal àmuseau long et,Glossaire Vaudois (1861),DCG parsed
MUSCADE,,vaud,noun_feminine,N.P.muscate .,Glossaire Vaudois (1861),DCG parsed
MUSCADELLE,,vaud,noun_feminine,Sorte depoire .N.P.unepoire mus-,Glossaire Vaudois (1861),DCG parsed
MUSEAU,"lemuseau ,lẻ",vaud,noun_masculine,"N.P.lemor,lemourre ;D.lemuseau ,lẻ",Glossaire Vaudois (1861),DCG parsed
MUSELIÈRE,,vaud,noun_feminine,N.P.unemusilière .,Glossaire Vaudois (1861),DCG parsed
MUSER,,vaud,verb_neutral,Perdre sontemps àdesriens .N.P.fouti-,Glossaire Vaudois (1861),DCG parsed
MUSSER,(Vieux m,vaud,verb_active,Cacher .(Vieux mot.)Onditenpatois :Lo,Glossaire Vaudois (1861),DCG parsed
MYRTE,,vaud,noun_masculine,Plante .N.P.myrtre .,Glossaire Vaudois (1861),DCG parsed
NACRE,delanacre .,vaud,noun_feminine,N.P.dunacre ;D.delanacre .,Glossaire Vaudois (1861),DCG parsed
NAIN,,vaud,adjective,Fait naine auféminin etnon pasnine.,Glossaire Vaudois (1861),DCG parsed
NÈFLE,,vaud,noun_feminine,Fruit dunéflier .N.P.unenèfe.,Glossaire Vaudois (1861),DCG parsed
NERF,,vaud,noun_masculine,L'sneseprononce qu'au singulier ;auplu-,Glossaire Vaudois (1861),DCG parsed
NETTOYER,,vaud,verb_active,N.P.netteyer .,Glossaire Vaudois (1861),DCG parsed
NEUF,,vaud,adjective,L'fneseprononce pasdevant uneconsonne,Glossaire Vaudois (1861),DCG parsed
NEUF,,vaud,adverb,Ilnefautpasconfondre àneufetdeneuf.,Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.;ilfaut dire tout deneuf.,Glossaire Vaudois (1861),DCG parsed
NEZ,,vaud,noun_masculine,Ilestsijeune quesionluitordait lenezilen,Glossaire Vaudois (1861),DCG parsed
NIAIS,,vaud,noun_masculine,"Nous disons ,quelle gogne !quelle gogne d'in-",Glossaire Vaudois (1861),DCG parsed
NICHET,,vaud,noun_masculine,Oeuf qu'on metdans lesnids préparés pour,Glossaire Vaudois (1861),DCG parsed
NIQUEDOUILLE,,vaud,noun_masculine,"Sot,nigaud .N.P.niguedouille ,",Glossaire Vaudois (1861),DCG parsed
NITÉE,,vaud,noun_feminine,Lesenfants disent :jeconnais unenitede,Glossaire Vaudois (1861),DCG parsed
NIVEAU,auniveau de.....,vaud,noun_masculine,N.P.àniveau de....;D.auniveau de.....,Glossaire Vaudois (1861),DCG parsed
NOISE,,vaud,noun_feminine,"Querelle ,dispute .N.P.chercher niaise ,cher-",Glossaire Vaudois (1861),DCG parsed
NOIX,,vaud,noun_feminine,Onditsouvent :ilarrange çacomme desnoix,Glossaire Vaudois (1861),DCG parsed
NOMBRIL,,vaud,noun_masculine,N.P.lebourillon .Enla-,Glossaire Vaudois (1861),DCG parsed
NOMINATION,,vaud,noun_feminine,Onlittous lesjours dans laFeuille,Glossaire Vaudois (1861),DCG parsed
NON,,vaud,adverb,"Ilestdétestable ,cetenfant .Ilestcharmant",Glossaire Vaudois (1861),DCG parsed
NONCHALANCE,,vaud,noun_feminine,N.P.nonchaliance .,Glossaire Vaudois (1861),DCG parsed
NONCHALANT,,vaud,noun_masculine,N.P.nonchaliant .,Glossaire Vaudois (1861),DCG parsed
NOTARIAT,,vaud,noun_masculine,"Charge ,fonction denotaire .Exercer",Glossaire Vaudois (1861),DCG parsed
NOUGAT,,vaud,noun_masculine,N.P.dunoguat .,Glossaire Vaudois (1861),DCG parsed
NOUILLES,,vaud,noun_feminine,"plur.Espèce depâte d'Allemagne ,faite",Glossaire Vaudois (1861),DCG parsed
NOURRIR,,vaud,verb_active,N.P.nourrir unenfant àlabouteille ;,Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,allaiter unenfant aubiberon .,Glossaire Vaudois (1861),DCG parsed
NOUVELLE,,vaud,noun_feminine,Nouveau nepeut sedire pour nouvelle .,Glossaire Vaudois (1861),DCG parsed
N,ya-t-ildebonnes nou-,vaud,unknown,P.ya-t-ildebons nouveaux ?D.ya-t-ildebonnes nou-,Glossaire Vaudois (1861),DCG parsed
NOYER,(Pr,vaud,verb_active,N.P.neyer .(Pr.noi-ier.)Autrefois ondi-,Glossaire Vaudois (1861),DCG parsed
NUAGE,,vaud,noun_masculine,"Niole pour nuage épais etorageux ,P.F.",Glossaire Vaudois (1861),DCG parsed
NUIT,,vaud,noun_feminine,Nous disons :denuit tous leschats sont gris.,Glossaire Vaudois (1861),DCG parsed
NUMÉRO,nu-,vaud,noun_masculine,"Nedites ninumero ,nimimero ;D.nu-",Glossaire Vaudois (1861),DCG parsed
NUQUE,lanuque ducouousim-,vaud,noun_feminine,N.P.lecotzon ;D.lanuque ducouousim-,Glossaire Vaudois (1861),DCG parsed
OASIS,,vaud,noun_feminine,Dites uneoasis etpr.l'sfinale .,Glossaire Vaudois (1861),DCG parsed
OBLIGER,,vaud,verb_active,"Obliger ,dans lesens d'imposer l'obligation",Glossaire Vaudois (1861),DCG parsed
OBSERVER,,vaud,verb_active,"Observer ,accompagné d'un régime in-",Glossaire Vaudois (1861),DCG parsed
D,,vaud,unknown,"jevous ferai observer que....,ilnous fitobserver que...,",Glossaire Vaudois (1861),DCG parsed
OBUS,un,vaud,noun_masculine,"N.P.uneobus,une obuse ;D.un",Glossaire Vaudois (1861),DCG parsed
OEUF,,vaud,noun_masculine,Cependant l'fneseprononce pas,Glossaire Vaudois (1861),DCG parsed
OFFRE,unebelle offre .,vaud,noun_feminine,D.unebelle offre .,Glossaire Vaudois (1861),DCG parsed
OIGNON,,vaud,noun_masculine,Unoignon nepeut sedire pour unemon-,Glossaire Vaudois (1861),DCG parsed
OING,,vaud,noun_masculine,Vieille graisse dont onenduit les,Glossaire Vaudois (1861),DCG parsed
OLIVE,,vaud,noun_feminine,Fruit del'olivier .Laplante que nous appe-,Glossaire Vaudois (1861),DCG parsed
ONGLE,,vaud,noun_masculine,"Dites unongle ,desongles trop longs .",Glossaire Vaudois (1861),DCG parsed
OPIAT,,vaud,noun_masculine,"Onpeut dire aussi opiate ,s.f.",Glossaire Vaudois (1861),DCG parsed
ORAGEUX,,vaud,adjective,N.P.unetempête orageuse ;c'est unpléo-,Glossaire Vaudois (1861),DCG parsed
ORÉE,,vaud,noun_feminine,"Bord d'un bois.N.P.labordée ,cemotaun",Glossaire Vaudois (1861),DCG parsed
OREILLONS,,vaud,noun_masculine,plur.Maladie desglandes voisines de,Glossaire Vaudois (1861),DCG parsed
ORGANE,,vaud,noun_masculine,Dites unbelorgane .,Glossaire Vaudois (1861),DCG parsed
ORGEAT,,vaud,noun_masculine,Sorte deboisson .N.P.del'or-,Glossaire Vaudois (1861),DCG parsed
ORGELET,,vaud,noun_masculine,Bouton àl'œil .N.P.unorbet .,Glossaire Vaudois (1861),DCG parsed
ORGUE,unorgue deBar-,vaud,noun_masculine,N.P.une quinquerne ;D.unorgue deBar-,Glossaire Vaudois (1861),DCG parsed
ORTEIL,,vaud,noun_masculine,"Doigt dupied,etparticulièrement legros",Glossaire Vaudois (1861),DCG parsed
ORTIE,,vaud,noun_feminine,Plante très commune .N.P.desourties .,Glossaire Vaudois (1861),DCG parsed
ORTIÉ,lafièvre ortiée .,vaud,adjective,N.P.lafièvre ourtillière ;D.lafièvre ortiée .,Glossaire Vaudois (1861),DCG parsed
ORVET,,vaud,noun_masculine,Genre deserpent nonvenimeux .N.P.un,Glossaire Vaudois (1861),DCG parsed
OSEILLE,,vaud,noun_feminine,Plante quicroît dans lesprés etqueles,Glossaire Vaudois (1861),DCG parsed
OSER,,vaud,verb_active,"Avec oser,onsupprime pas etpoint ,lors-",Glossaire Vaudois (1861),DCG parsed
OSIER,,vaud,noun_masculine,Nom vulgaire commun àplusieurs espèces,Glossaire Vaudois (1861),DCG parsed
OTER,"ôter sonchapeau ,",vaud,verb_active,"N.P.tirer sonchapeau ;D.ôter sonchapeau ,",Glossaire Vaudois (1861),DCG parsed
OUBLIEUX,,vaud,adjective,Quioublie .N.P.oublieur .,Glossaire Vaudois (1861),DCG parsed
OUI,,vaud,adverb,N.P.voui .,Glossaire Vaudois (1861),DCG parsed
OURLET,,vaud,noun_masculine,N.P.faire uneourle .,Glossaire Vaudois (1861),DCG parsed
OUVERT,,vaud,adjective,N.P.lesportes sont tout écalabrées ;D.,Glossaire Vaudois (1861),DCG parsed
OVALE,,vaud,adjective,"Lemotbélong P.F.Dites ovale ,oblong .-",Glossaire Vaudois (1861),DCG parsed
OXALYDE,,vaud,noun_feminine,Petite plante quicroît dans lesbois et,Glossaire Vaudois (1861),DCG parsed
PACHYDERMES,,vaud,noun_masculine,"plur.(Pr.pa-chi-derme ,etnon",Glossaire Vaudois (1861),DCG parsed
PAILLASSE,,vaud,noun_feminine,N.P.garde -paille .,Glossaire Vaudois (1861),DCG parsed
PAILLE,"unepaille ,un",vaud,noun_feminine,"N.P.une bûche depaille ;D.unepaille ,un",Glossaire Vaudois (1861),DCG parsed
PAIN,despains à,vaud,noun_masculine,"N.P.des oublis ,desoublies ;D.despains à",Glossaire Vaudois (1861),DCG parsed
PAIR,,vaud,noun_masculine,Vivre avec quelqu'un depair àcompagnon ;trai-,Glossaire Vaudois (1861),DCG parsed
PAIRE,,vaud,noun_feminine,Nepeut s'employer qu'avec unsubs.plur.:,Glossaire Vaudois (1861),DCG parsed
PALEFRENIER,,vaud,noun_masculine,N.P.palfrenier .,Glossaire Vaudois (1861),DCG parsed
PALONNIER,,vaud,noun_masculine,Pièce d'une voiture quisert àatta-,Glossaire Vaudois (1861),DCG parsed
PAN,lepand'une,vaud,noun_masculine,N.P.lepantet d'une chemise ;D.lepand'une,Glossaire Vaudois (1861),DCG parsed
PANACHE,"unpanache .-Plumache ,P.F.",vaud,noun_masculine,"D.unpanache .-Plumache ,P.F.",Glossaire Vaudois (1861),DCG parsed
PANADE,unepa-,vaud,noun_feminine,N.P.unesoupe aupain cuit;D.unepa-,Glossaire Vaudois (1861),DCG parsed
PANERÉE,,vaud,noun_feminine,Plein unpanier .N.P.dans cesensun,Glossaire Vaudois (1861),DCG parsed
PANNE,,vaud,noun_feminine,Graisse deporc.N.P.delapenne .,Glossaire Vaudois (1861),DCG parsed
PANNEAU,unhabit,vaud,noun_masculine,N.P.unhabit àpanneau ;D.unhabit,Glossaire Vaudois (1861),DCG parsed
PANNER,,vaud,verb_active,Onlitdans ledictionnaire deBesche-,Glossaire Vaudois (1861),DCG parsed
PANNETON,,vaud,noun_masculine,Partie d'une clef quientre dans la,Glossaire Vaudois (1861),DCG parsed
PANSE,,vaud,noun_feminine,Seditpour ventre .Quelle bouelle !P.F.,Glossaire Vaudois (1861),DCG parsed
PANTALON,,vaud,noun_masculine,Enparlant d'un seulvêtement dece,Glossaire Vaudois (1861),DCG parsed
PANTOMIME,,vaud,noun_feminine,N.P.pantomine .,Glossaire Vaudois (1861),DCG parsed
PAON,,vaud,noun_masculine,"PAONNE ,s.f.PAONNEAU ,s.m.(Pr.",Glossaire Vaudois (1861),DCG parsed
PAPEGAI,,vaud,noun_masculine,"Oiseau debois,planté auhaut d'une",Glossaire Vaudois (1861),DCG parsed
PAPETERIE,,vaud,noun_feminine,N.P.papéterie .,Glossaire Vaudois (1861),DCG parsed
PAPIER,dupapier à,vaud,noun_masculine,N.P.dupapier deposte ;D.dupapier à,Glossaire Vaudois (1861),DCG parsed
PAPIN,,vaud,noun_masculine,Farine bouillie dans del'eau oudans du,Glossaire Vaudois (1861),DCG parsed
M,,vaud,unknown,"N**? Jecrois qu'il demeure parlarueduPré,ou",Glossaire Vaudois (1861),DCG parsed
PARADE,,vaud,noun_feminine,Ostentation ;faire parade .Les verbes,Glossaire Vaudois (1861),DCG parsed
PARAPHE,unparaphe .,vaud,noun_masculine,D.unparaphe .,Glossaire Vaudois (1861),DCG parsed
PARAPLUIE,,vaud,noun_masculine,"N.P.parpluie ,parepluie .",Glossaire Vaudois (1861),DCG parsed
PARAVENT,,vaud,noun_masculine,N.P.unparevent .,Glossaire Vaudois (1861),DCG parsed
PARDONNABLE,,vaud,adjective,Neseditquedeschoses ;onne,Glossaire Vaudois (1861),DCG parsed
PARDONNER,,vaud,verb,"Veut unrégime direct dechose ,et",Glossaire Vaudois (1861),DCG parsed
PAREILLE,,vaud,noun_feminine,L'expression populaire diable lapa-,Glossaire Vaudois (1861),DCG parsed
PARENT,,vaud,noun_masculine,"Etre parent .N.P.jeluisuis parent ,je",Glossaire Vaudois (1861),DCG parsed
PARESSEUX,,vaud,adjective,"Charoupe ,charoupionge ,charouperie ,",Glossaire Vaudois (1861),DCG parsed
P,,vaud,unknown,F.Nous avons trois expressions extrêmement pittores-,Glossaire Vaudois (1861),DCG parsed
PARI,,vaud,noun_masculine,Gageure .N.P.unepariure .,Glossaire Vaudois (1861),DCG parsed
PARIER,,vaud,verb_active,Onentend souvent dire àlacampagne :,Glossaire Vaudois (1861),DCG parsed
PARLER,,vaud,verb_active,Parler allemand .N.P.talemacher .Ce,Glossaire Vaudois (1861),DCG parsed
PART,,vaud,noun_feminine,Onentend dire :Oùvas-tu?Apoint d'en-,Glossaire Vaudois (1861),DCG parsed
PARTENAIRE,,vaud,noun_masculine,'Associé aujeu.N.P.partener .,Glossaire Vaudois (1861),DCG parsed
PARTERRE,,vaud,noun_masculine,Faire desparterres sedisait triviale-,Glossaire Vaudois (1861),DCG parsed
PARTIE,,vaud,noun_feminine,"N.P.faire une partie aubillard ,aux",Glossaire Vaudois (1861),DCG parsed
PARTIR,,vaud,verb_neutral,Lorsque partir signifie aller d'un lieu,Glossaire Vaudois (1861),DCG parsed
PARURE,,vaud,noun_feminine,Cequi aétéretranché avec unoutil .,Glossaire Vaudois (1861),DCG parsed
PAS,,vaud,noun_masculine,Lesexpressions suivantes P.F.:sans lepas,Glossaire Vaudois (1861),DCG parsed
PASSAGER,,vaud,adjective,C'est abusivement que l'on emploie,Glossaire Vaudois (1861),DCG parsed
PASSÉ,comme parle,vaud,noun_masculine,N.P.comme dupassé ;D.comme parle,Glossaire Vaudois (1861),DCG parsed
PASSER,,vaud,verb_neutral,"etpr.Cette fleur,cette couleur estpassée ,",Glossaire Vaudois (1861),DCG parsed
PASTILLE,des,vaud,noun_feminine,N.P.des tablettes àlabize;D.des,Glossaire Vaudois (1861),DCG parsed
PAT,,vaud,noun_masculine,Terme d'échec .,Glossaire Vaudois (1861),DCG parsed
PATATA,,vaud,unknown,Onomatopée dugalop ducheval :ilcourait,Glossaire Vaudois (1861),DCG parsed
PATE,,vaud,noun_feminine,"C'est unebonne pâte d'homme ,uneexcellente",Glossaire Vaudois (1861),DCG parsed
N,,vaud,unknown,P.c'est lapâte dubon Dieu .,Glossaire Vaudois (1861),DCG parsed
PATÉ,,vaud,noun_masculine,Goutte d'encre tombée surdupapier .N.P.,Glossaire Vaudois (1861),DCG parsed
PATÈRE,,vaud,noun_feminine,Ornement pour soutenir lesrideaux .N.P.,Glossaire Vaudois (1861),DCG parsed
PATRAQUE,,vaud,noun_feminine,N.P.patracle .,Glossaire Vaudois (1861),DCG parsed
PATROUILLER,,vaud,verb_active,Manier malproprement ;trivial .,Glossaire Vaudois (1861),DCG parsed
PATTE,,vaud,noun_feminine,"N.P.lespiôtes ,lescrapies (pr.simultané-",Glossaire Vaudois (1861),DCG parsed
